"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","WHEAT, WINTER - ACRES HARVESTED  -  <b>VALUE</b>","WHEAT, WINTER - ACRES HARVESTED  -  <b>CV (%)</b>","WHEAT, WINTER - ACRES PLANTED  -  <b>VALUE</b>","WHEAT, WINTER - ACRES PLANTED  -  <b>CV (%)</b>","WHEAT, WINTER - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","WHEAT, WINTER - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","","99","OTHER COUNTIES","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","1,623,210","0.3","2,740,600","","59,947,000","2.1","36.9","2.1"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","CENTRAL","50","BARTON","009","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","57,700","0.9","149,500","0","1,010,000","18.7","17.5","18.7"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","CENTRAL","50","DICKINSON","041","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","124,700","1.8","128,000","0","4,838,000","4.7","38.8","4.3"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","CENTRAL","50","ELLIS","051","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","59,300","0.8","84,600","0","1,666,000","10.2","28.1","10.1"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","CENTRAL","50","ELLSWORTH","053","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","56,200","0.8","79,600","0.1","1,590,000","8","28.3","8"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","CENTRAL","50","LINCOLN","105","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","64,600","0.8","87,800","0","1,680,000","17.4","26","17.4"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","CENTRAL","50","MARION","115","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","112,200","1.5","115,500","0","4,656,000","3.7","41.5","3.3"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","CENTRAL","50","MCPHERSON","113","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","179,800","1.6","186,500","0","6,257,000","4.9","34.8","4.6"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","CENTRAL","50","RICE","159","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","126,400","0.9","150,500","0","3,868,000","7.5","30.6","7.5"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","CENTRAL","50","RUSH","165","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","85,100","0.9","108,500","0","3,387,000","6.8","39.8","6.7"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","CENTRAL","50","RUSSELL","167","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","36,900","1","71,600","0.1","852,000","13.3","23.1","13.3"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","CENTRAL","50","SALINE","169","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","106,500","1.6","110,000","0","4,068,000","6","38.2","5.7"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","EAST CENTRAL","80","ANDERSON","003","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","12,600","1.9","12,900","0.1","672,000","10.2","53.3","10"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","EAST CENTRAL","80","CHASE","017","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","8,790","1.8","9,000","0.1","458,000","6","52.1","5.7"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","EAST CENTRAL","80","COFFEY","031","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","15,600","1.9","16,000","0.1","782,000","5","50.1","4.7"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","EAST CENTRAL","80","DOUGLAS","045","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","5,790","2","5,900","0.4","257,000","6.4","44.4","6"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","EAST CENTRAL","80","FRANKLIN","059","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","7,820","1.8","8,000","0.2","461,000","4.5","59","4.2"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","EAST CENTRAL","80","MIAMI","121","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","7,140","2","7,300","0.2","366,000","7.8","51.3","7.6"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","EAST CENTRAL","80","MORRIS","127","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","21,200","1.1","22,900","0.1","933,000","3.7","44","3.6"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","EAST CENTRAL","80","OSAGE","139","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","11,700","1.9","11,900","0.1","710,000","7.7","60.7","7.4"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","EAST CENTRAL","80","SHAWNEE","177","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","2,490","1.7","2,600","0.7","147,000","9","59","8.8"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","EAST CENTRAL","80","WABAUNSEE","197","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","2,440","2.2","2,500","0.7","124,000","7.4","50.8","7"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","NORTH CENTRAL","40","CLAY","027","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","42,300","1.1","46,600","0.1","1,679,000","7","39.7","6.9"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","NORTH CENTRAL","40","CLOUD","029","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","49,200","0.8","65,100","0","1,284,000","8.6","26.1","8.6"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","NORTH CENTRAL","40","OTTAWA","143","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","67,500","1","75,900","0.1","2,531,000","7.4","37.5","7.3"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","NORTH CENTRAL","40","SMITH","183","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","64,700","0.8","87,800","0","1,592,000","15.6","24.6","15.6"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","NORTH CENTRAL","40","WASHINGTON","201","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","24,900","0.9","28,300","0.2","979,000","10.2","39.3","10.2"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","NORTHEAST","70","ATCHISON","005","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","2,790","2","2,900","1.3","190,000","12.3","68.1","12.1"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","NORTHEAST","70","BROWN","013","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","2,630","2.8","2,700","2.2","188,000","3.8","71.5","2.5"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","NORTHEAST","70","JACKSON","085","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","4,400","2","4,500","0.7","251,000","4.9","57","4.5"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","NORTHEAST","70","LEAVENWORTH","103","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","2,750","2.6","2,800","1.5","174,000","12.5","63.3","12.3"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","NORTHEAST","70","MARSHALL","117","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","11,300","1.1","12,200","0.3","709,000","7.6","62.7","7.6"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","NORTHEAST","70","NEMAHA","131","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","5,140","2.1","5,400","0.7","335,000","10","65.2","9.8"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","NORTHWEST","10","DECATUR","039","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","84,700","1","96,300","0","3,286,000","7.2","38.8","7.1"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","NORTHWEST","10","GRAHAM","065","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","44,600","0.8","78,500","0.1","963,000","9.9","21.6","9.9"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","NORTHWEST","10","RAWLINS","153","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","124,500","1.3","130,000","0","5,901,000","8.5","47.4","8.4"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTH CENTRAL","60","COMANCHE","033","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","26,000","6.7","48,400","6.6","426,000","21.1","16.4","20"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTH CENTRAL","60","EDWARDS","047","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","64,200","0.8","98,700","0","1,477,000","11.3","23","11.3"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTH CENTRAL","60","HARPER","077","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","161,400","0.7","231,500","0","3,470,000","8.7","21.5","8.7"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTH CENTRAL","60","HARVEY","079","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","84,600","1.2","91,700","0","2,724,000","8","32.2","7.9"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTH CENTRAL","60","KINGMAN","095","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","139,200","0.7","181,500","0","2,993,000","11.1","21.5","11"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTH CENTRAL","60","PRATT","151","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","102,800","0.8","155,500","0","2,107,000","8.4","20.5","8.3"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTH CENTRAL","60","RENO","155","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","186,200","0.9","217,500","0","4,711,000","6.9","25.3","6.9"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTH CENTRAL","60","SEDGWICK","173","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","136,800","0.9","158,000","0","2,818,000","3.3","20.6","3.2"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTH CENTRAL","60","STAFFORD","185","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","103,400","0.7","136,500","0","3,092,000","13.6","29.9","13.6"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTH CENTRAL","60","SUMNER","191","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","287,500","0.9","336,000","0","7,482,000","6.8","26","6.7"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","ALLEN","001","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","16,700","1.4","17,500","0.1","945,000","5.6","56.6","5.5"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","BOURBON","011","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","11,200","2","11,400","0.2","624,000","5.4","55.7","5"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","BUTLER","015","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","46,200","1.1","49,900","0","1,977,000","9.8","42.8","9.7"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","CHAUTAUQUA","019","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","4,540","6.7","4,700","6.3","208,000","7.6","45.8","3.6"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","CHEROKEE","021","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","67,400","2","68,800","0","5,385,000","6.6","79.9","6.4"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","COWLEY","035","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","61,600","0.8","76,600","0","1,423,000","3.6","23.1","3.6"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","CRAWFORD","037","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","36,500","1.9","37,200","0.1","2,029,000","11.5","55.6","11.4"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","GREENWOOD","073","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","7,870","1.6","8,200","0.5","323,000","10","41","10"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","LABETTE","099","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","54,000","2.1","55,100","0","3,499,000","8.4","64.8","8.1"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","MONTGOMERY","125","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","43,000","2","43,900","0.1","2,356,000","5.4","54.8","5"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","NEOSHO","133","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","30,400","1.9","31,000","0.1","1,572,000","10.1","51.7","10"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","WILSON","205","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","43,400","2","44,300","0.1","2,496,000","5.1","57.5","4.8"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","WOODSON","207","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","15,300","1.7","15,700","0.2","929,000","8.2","60.7","8"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","CLARK","025","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","33,400","0.9","60,100","0.2","882,000","17.4","26.4","17.4"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","GRANT","067","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","32,100","1","84,300","0","1,624,000","10.6","50.6","10.5"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","GRAY","069","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","77,300","0.8","129,500","0","3,687,000","7","47.7","6.9"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","HAMILTON","075","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","40,400","1","129,000","0","1,147,000","11.3","28.4","11.2"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","HASKELL","081","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","32,600","0.9","84,800","0","1,392,000","10.6","42.7","10.5"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","HODGEMAN","083","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","74,100","0.8","101,500","0","2,401,000","16","32.4","16"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","WEST CENTRAL","20","GOVE","063","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","57,200","0.8","106,000","0","1,687,000","10.4","29.5","10.4"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","WEST CENTRAL","20","GREELEY","071","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","160,600","1.1","178,500","0","5,814,000","5.1","36.2","4.9"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","WEST CENTRAL","20","NESS","135","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","75,100","0.8","131,500","0","2,103,000","6.1","28","6"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","WEST CENTRAL","20","WALLACE","199","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","75,000","1","87,000","0","2,693,000","8.6","35.9","8.6"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","WEST CENTRAL","20","WICHITA","203","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","102,400","0.7","137,500","0","3,963,000","6.4","38.7","6.4"
"SURVEY","2023","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","5,750,000","","8,100,000","","201,250,000","","35",""
